"Date","Price","Open","High","Low","Vol.","Change %"
"11/23/2010","8.8828","9.0443","9.0568","8.8771","","-1.81%"
"11/22/2010","9.0469","9.1058","9.1559","9.0173","","-0.44%"
"11/19/2010","9.0866","9.0494","9.1185","9.0321","","0.40%"
"11/18/2010","9.0507","8.9826","9.0665","8.9829","","0.82%"
"11/17/2010","8.9767","8.9524","9.0109","8.9391","","0.23%"
"11/16/2010","8.9557","9.0216","9.0702","8.9266","","-0.74%"
"11/15/2010","9.0229","9.0984","9.1280","9.0109","","-0.71%"
"11/12/2010","9.0878","9.0510","9.1445","9.0109","","0.46%"
"11/11/2010","9.0464","9.1416","9.1664","9.0342","","-1.05%"
"11/10/2010","9.1423","9.1479","9.1727","9.0691","","-0.10%"
"11/09/2010","9.1519","9.2960","9.3062","9.1362","","-1.57%"
"11/08/2010","9.2980","9.3509","9.3750","9.2779","","-0.42%"
"11/05/2010","9.3376","9.4678","9.4909","9.3340","","-1.26%"
"11/04/2010","9.4565","9.4376","9.5172","9.4008","","0.19%"
"11/03/2010","9.4389","9.3725","9.4660","9.3377","","0.70%"
"11/02/2010","9.3732","9.2946","9.3894","9.2877","","0.88%"
"11/01/2010","9.2913","9.3130","9.3711","9.2687","","-0.13%"
"10/29/2010","9.3036","9.3106","9.3290","9.2085","","-0.12%"
"10/28/2010","9.3146","9.1950","9.3258","9.1914","","1.26%"
"10/27/2010","9.1984","9.2309","9.2558","9.1754","","-0.38%"
"10/26/2010","9.2336","9.2991","9.3157","9.2107","","-0.68%"
"10/25/2010","9.2971","9.2917","9.3705","9.2781","","0.10%"
"10/22/2010","9.2877","9.2577","9.3056","9.2241","","0.34%"
"10/21/2010","9.2564","9.2859","9.3386","9.2304","","-0.35%"
"10/20/2010","9.2892","9.1228","9.3079","9.1013","","1.79%"
"10/19/2010","9.1261","9.2671","9.3046","9.1113","","-1.43%"
"10/18/2010","9.2584","9.2794","9.3015","9.1901","","-0.24%"
"10/15/2010","9.2808","9.3606","9.4023","9.2551","","-0.87%"
"10/14/2010","9.3626","9.2988","9.3966","9.2989","","0.65%"
"10/13/2010","9.3021","9.2852","9.3389","9.2712","","0.10%"
"10/12/2010","9.2926","9.2497","9.2991","9.1934","","0.46%"
"10/11/2010","9.2504","9.3341","9.3495","9.2472","","-0.53%"
"10/08/2010","9.2994","9.3116","9.3308","9.2301","","-0.19%"
"10/07/2010","9.3169","9.3175","9.3886","9.2729","","-0.05%"
"10/06/2010","9.3215","9.2571","9.3334","9.2337","","0.71%"
"10/05/2010","9.2558","9.1509","9.2753","9.0613","","1.11%"
"10/04/2010","9.1542","9.2242","9.2272","9.0965","","-0.76%"
"10/01/2010","9.2242","9.1185","9.2289","9.1132","","1.15%"
"09/30/2010","9.1192","9.1096","9.1566","9.0723","","0.06%"
"09/29/2010","9.1136","9.0842","9.1273","8.9930","","0.31%"
"09/28/2010","9.0856","8.9942","9.1000","8.9589","","0.94%"
"09/27/2010","9.0009","9.0356","9.0481","8.9830","","-0.45%"
"09/24/2010","9.0417","8.9268","9.0481","8.9104","","1.30%"
"09/23/2010","8.9254","8.9780","8.9931","8.9190","","-0.63%"
"09/22/2010","8.9820","8.8887","9.0112","8.8838","","1.08%"
"09/21/2010","8.8860","8.7685","8.9077","8.7552","","1.32%"
"09/20/2010","8.7705","8.7749","8.8031","8.7466","","0.00%"
"09/17/2010","8.7702","8.7923","8.8515","8.7531","","-0.23%"
"09/16/2010","8.7903","8.7661","8.8232","8.7296","","0.32%"
"09/15/2010","8.7621","8.7592","8.7865","8.7277","","0.00%"
"09/14/2010","8.7625","8.7035","8.7905","8.6553","","0.66%"
"09/13/2010","8.7049","8.6007","8.7157","8.5998","","1.44%"
"09/10/2010","8.5811","8.6104","8.6307","8.5637","","-0.33%"
"09/09/2010","8.6091","8.6426","8.6599","8.5929","","-0.39%"
"09/08/2010","8.6426","8.6125","8.6724","8.6051","","0.36%"
"09/07/2010","8.6118","8.7366","8.7404","8.6095","","-1.43%"
"09/06/2010","8.7366","8.7650","8.7732","8.7329","","-0.37%"
"09/03/2010","8.7690","8.7307","8.7739","8.7132","","0.45%"
"09/02/2010","8.7300","8.7164","8.7476","8.6935","","0.06%"
"09/01/2010","8.7245","8.6346","8.7565","8.6168","","1.03%"
"08/31/2010","8.6352","8.6138","8.6756","8.5925","","0.23%"
"08/30/2010","8.6152","8.6773","8.6817","8.6115","","-0.69%"
"08/27/2010","8.6752","8.6446","8.6871","8.5799","","0.31%"
"08/26/2010","8.6480","8.6075","8.6791","8.5985","","0.49%"
"08/25/2010","8.6061","8.5821","8.6512","8.5709","","0.28%"
"08/24/2010","8.5821","8.6007","8.6453","8.5549","","-0.27%"
"08/23/2010","8.6054","8.6253","8.6552","8.5997","","-0.25%"
"08/20/2010","8.6267","8.7037","8.7121","8.5988","","-0.88%"
"08/19/2010","8.7037","8.7293","8.7614","8.6722","","-0.30%"
"08/18/2010","8.7300","8.7454","8.7775","8.7056","","-0.20%"
"08/17/2010","8.7474","8.7238","8.7745","8.7090","","0.25%"
"08/16/2010","8.7252","8.6666","8.7586","8.6525","","0.72%"
